2 of 3321 | time used: 68.2
4 of 3321 | time used: 69.1
8 of 3321 | time used: 80.3
6 of 3321 | time used: 82.4
3 of 3321 | time used: 84
1 of 3321 | time used: 88.6
5 of 3321 | time used: 93.9
7 of 3321 | time used: 95.2
10 of 3321 | time used: 66.3
13 of 3321 | time used: 79.6
9 of 3321 | time used: 99.2
11 of 3321 | time used: 95.4
16 of 3321 | time used: 87
12 of 3321 | time used: 100.1
15 of 3321 | time used: 88.8
14 of 3321 | time used: 102.6
17 of 3321 | time used: 71.2
19 of 3321 | time used: 71.6
18 of 3321 | time used: 82.1
21 of 3321 | time used: 64.6
20 of 3321 | time used: 83.8
23 of 3321 | time used: 76.9
22 of 3321 | time used: 78.6
24 of 3321 | time used: 100.7
25 of 3321 | time used: 91.5
27 of 3321 | time used: 72.4
26 of 3321 | time used: 82.9
31 of 3321 | time used: 77.4
28 of 3321 | time used: 93.4
29 of 3321 | time used: 92.7
32 of 3321 | time used: 68.8
30 of 3321 | time used: 105.7
33 of 3321 | time used: 68.9
35 of 3321 | time used: 62.1
34 of 3321 | time used: 79.1
37 of 3321 | time used: 72.9
36 of 3321 | time used: 92.3
39 of 3321 | time used: 77.5
38 of 3321 | time used: 91.4
42 of 3321 | time used: 61.4
40 of 3321 | time used: 85.4
41 of 3321 | time used: 83.9
43 of 3321 | time used: 96.2
44 of 3321 | time used: 84.5
45 of 3321 | time used: 72.8
48 of 3321 | time used: 72.2
47 of 3321 | time used: 81.2
49 of 3321 | time used: 75.5
46 of 3321 | time used: 96.5
50 of 3321 | time used: 101.6
53 of 3321 | time used: 66.8
52 of 3321 | time used: 85.1
51 of 3321 | time used: 105.9
56 of 3321 | time used: 81.4
54 of 3321 | time used: 95.4
55 of 3321 | time used: 97.9
57 of 3321 | time used: 89.7
58 of 3321 | time used: 83.9
59 of 3321 | time used: 72.9
61 of 3321 | time used: 79.2
60 of 3321 | time used: 98.3
62 of 3321 | time used: 84.3
65 of 3321 | time used: 73.5
63 of 3321 | time used: 85.8
64 of 3321 | time used: 76.3
67 of 3321 | time used: 79.9
66 of 3321 | time used: 90.2
69 of 3321 | time used: 66.7
68 of 3321 | time used: 83
70 of 3321 | time used: 76.9
72 of 3321 | time used: 77
71 of 3321 | time used: 84.1
73 of 3321 | time used: 86.9
75 of 3321 | time used: 69.5
74 of 3321 | time used: 80.6
76 of 3321 | time used: 67.1
79 of 3321 | time used: 68.4
78 of 3321 | time used: 79.8
81 of 3321 | time used: 69.1
77 of 3321 | time used: 97.8
80 of 3321 | time used: 77.4
82 of 3321 | time used: 90
84 of 3321 | time used: 88.5
83 of 3321 | time used: 103.1
86 of 3321 | time used: 72.4
89 of 3321 | time used: 79.4
85 of 3321 | time used: 95.9
87 of 3321 | time used: 90.6
88 of 3321 | time used: 113.5
91 of 3321 | time used: 87.7
92 of 3321 | time used: 84.2
90 of 3321 | time used: 108
93 of 3321 | time used: 89.7
94 of 3321 | time used: 75.7
96 of 3321 | time used: 69.6
95 of 3321 | time used: 77.4
98 of 3321 | time used: 75.7
97 of 3321 | time used: 100.5
99 of 3321 | time used: 87.4
101 of 3321 | time used: 79.8
100 of 3321 | time used: 103.4
104 of 3321 | time used: 87.9
102 of 3321 | time used: 90.6
103 of 3321 | time used: 100.6
106 of 3321 | time used: 68.2
105 of 3321 | time used: 88.6
107 of 3321 | time used: 87.1
108 of 3321 | time used: 75.3
109 of 3321 | time used: 75.7
111 of 3321 | time used: 86.9
112 of 3321 | time used: 86.1
110 of 3321 | time used: 97.6
113 of 3321 | time used: 75
115 of 3321 | time used: 71.2
114 of 3321 | time used: 87.7
116 of 3321 | time used: 94.1
117 of 3321 | time used: 96
120 of 3321 | time used: 77.7
