4 of 3321 | time used: 65.6
7 of 3321 | time used: 76.2
1 of 3321 | time used: 77.1
2 of 3321 | time used: 82.9
6 of 3321 | time used: 84.1
5 of 3321 | time used: 89.9
8 of 3321 | time used: 90
3 of 3321 | time used: 91
10 of 3321 | time used: 67.8
9 of 3321 | time used: 82
12 of 3321 | time used: 85.6
11 of 3321 | time used: 92.1
16 of 3321 | time used: 78.8
14 of 3321 | time used: 89.8
15 of 3321 | time used: 93.6
13 of 3321 | time used: 105.7
17 of 3321 | time used: 79.5
18 of 3321 | time used: 82.7
20 of 3321 | time used: 62.8
21 of 3321 | time used: 83.6
22 of 3321 | time used: 74.4
19 of 3321 | time used: 99.4
24 of 3321 | time used: 82.5
23 of 3321 | time used: 90.8
27 of 3321 | time used: 62.9
25 of 3321 | time used: 77.8
26 of 3321 | time used: 71.2
28 of 3321 | time used: 63.8
29 of 3321 | time used: 82.4
30 of 3321 | time used: 83.2
32 of 3321 | time used: 77.2
35 of 3321 | time used: 62.1
33 of 3321 | time used: 68.7
31 of 3321 | time used: 92.8
34 of 3321 | time used: 68.8
36 of 3321 | time used: 66.2
37 of 3321 | time used: 85.5
38 of 3321 | time used: 71.8
42 of 3321 | time used: 73.9
39 of 3321 | time used: 91.7
43 of 3321 | time used: 78.7
41 of 3321 | time used: 86.2
40 of 3321 | time used: 87.3
44 of 3321 | time used: 99.1
45 of 3321 | time used: 79.1
47 of 3321 | time used: 63.4
46 of 3321 | time used: 86.9
48 of 3321 | time used: 67.4
51 of 3321 | time used: 81.2
49 of 3321 | time used: 85.8
50 of 3321 | time used: 93.3
52 of 3321 | time used: 95
53 of 3321 | time used: 79.4
56 of 3321 | time used: 81.2
57 of 3321 | time used: 70.7
54 of 3321 | time used: 105.8
55 of 3321 | time used: 105.2
58 of 3321 | time used: 84.2
59 of 3321 | time used: 85.9
60 of 3321 | time used: 92.6
62 of 3321 | time used: 79.9
61 of 3321 | time used: 100
65 of 3321 | time used: 85.3
67 of 3321 | time used: 71.8
64 of 3321 | time used: 93.9
63 of 3321 | time used: 100.8
66 of 3321 | time used: 101.6
68 of 3321 | time used: 68.8
69 of 3321 | time used: 78.9
70 of 3321 | time used: 76
71 of 3321 | time used: 65.3
72 of 3321 | time used: 72.8
74 of 3321 | time used: 76
73 of 3321 | time used: 83.4
75 of 3321 | time used: 95.1
76 of 3321 | time used: 80.5
77 of 3321 | time used: 78.6
78 of 3321 | time used: 79.4
80 of 3321 | time used: 66.8
