3 of 3321 | time used: 7.2
6 of 3321 | time used: 7.2
8 of 3321 | time used: 7.2
5 of 3321 | time used: 7.3
2 of 3321 | time used: 7.3
1 of 3321 | time used: 7.5
7 of 3321 | time used: 7.5
4 of 3321 | time used: 7.6
12 of 3321 | time used: 7.2
13 of 3321 | time used: 7.3
9 of 3321 | time used: 7.3
14 of 3321 | time used: 7.5
15 of 3321 | time used: 7.5
10 of 3321 | time used: 7.5
11 of 3321 | time used: 7.6
16 of 3321 | time used: 7.8
22 of 3321 | time used: 7
21 of 3321 | time used: 7.5
23 of 3321 | time used: 7.6
17 of 3321 | time used: 8.2
19 of 3321 | time used: 8.3
24 of 3321 | time used: 8
20 of 3321 | time used: 8.9
25 of 3321 | time used: 7.4
26 of 3321 | time used: 8
28 of 3321 | time used: 7.6
18 of 3321 | time used: 15.9
30 of 3321 | time used: 7.5
27 of 3321 | time used: 8.7
29 of 3321 | time used: 8.2
31 of 3321 | time used: 8.9
32 of 3321 | time used: 10.1
37 of 3321 | time used: 8.3
38 of 3321 | time used: 8.5
33 of 3321 | time used: 9.4
36 of 3321 | time used: 9.2
39 of 3321 | time used: 7.4
35 of 3321 | time used: 9.4
34 of 3321 | time used: 9.5
43 of 3321 | time used: 7.8
44 of 3321 | time used: 8.1
42 of 3321 | time used: 8.5
45 of 3321 | time used: 8.3
46 of 3321 | time used: 8.3
41 of 3321 | time used: 8.8
40 of 3321 | time used: 9.1
47 of 3321 | time used: 13.6
52 of 3321 | time used: 8.1
48 of 3321 | time used: 8.9
51 of 3321 | time used: 8.5
54 of 3321 | time used: 8.2
49 of 3321 | time used: 9
50 of 3321 | time used: 8.9
53 of 3321 | time used: 9
55 of 3321 | time used: 6.8
5 of 3321 | time used: 7.1
6 of 3321 | time used: 7.3
2 of 3321 | time used: 7.4
3 of 3321 | time used: 7.4
8 of 3321 | time used: 7.4
7 of 3321 | time used: 7.5
1 of 3321 | time used: 7.5
4 of 3321 | time used: 7.8
9 of 3321 | time used: 3.4
10 of 3321 | time used: 3.7
3 of 3321 | time used: 13.8
2 of 3321 | time used: 24.5
5 of 3321 | time used: 24.6
6 of 3321 | time used: 24.8
9 of 3321 | time used: 13.5
1 of 3321 | time used: 29.6
8 of 3321 | time used: 40.3
4 of 3321 | time used: 43.2
10 of 3321 | time used: 22.5
7 of 3321 | time used: 49.2
7 of 3321 | time used: 77.8
1 of 3321 | time used: 349.1
1 of 3321 | time used: 126.5
4 of 3321 | time used: 64.4
2 of 3321 | time used: 73
3 of 3321 | time used: 79
6 of 3321 | time used: 79.6
8 of 3321 | time used: 79.7
7 of 3321 | time used: 85
5 of 3321 | time used: 87.2
1 of 3321 | time used: 91.4
10 of 3321 | time used: 30.8
9 of 3321 | time used: 43.9
4 of 3321 | time used: 64.9
2 of 3321 | time used: 76.6
3 of 3321 | time used: 80.8
6 of 3321 | time used: 81
8 of 3321 | time used: 82.7
7 of 3321 | time used: 88.4
5 of 3321 | time used: 93.8
1 of 3321 | time used: 101.4
10 of 3321 | time used: 65.9
11 of 3321 | time used: 65
13 of 3321 | time used: 66.2
9 of 3321 | time used: 91.9
14 of 3321 | time used: 73.2
15 of 3321 | time used: 80.2
12 of 3321 | time used: 94.6
16 of 3321 | time used: 86.8
18 of 3321 | time used: 68.2
17 of 3321 | time used: 74
19 of 3321 | time used: 75.1
21 of 3321 | time used: 72
22 of 3321 | time used: 64.6
23 of 3321 | time used: 66.5
20 of 3321 | time used: 89.2
24 of 3321 | time used: 83.4
25 of 3321 | time used: 79.2
27 of 3321 | time used: 75
26 of 3321 | time used: 91.2
29 of 3321 | time used: 72.1
28 of 3321 | time used: 79.6
30 of 3321 | time used: 75.1
31 of 3321 | time used: 75.4
32 of 3321 | time used: 80.2
33 of 3321 | time used: 71.3
34 of 3321 | time used: 71.6
35 of 3321 | time used: 69.3
36 of 3321 | time used: 79.5
39 of 3321 | time used: 78.9
38 of 3321 | time used: 83.3
37 of 3321 | time used: 87.7
40 of 3321 | time used: 78.9
41 of 3321 | time used: 77.4
43 of 3321 | time used: 76.8
42 of 3321 | time used: 94.9
44 of 3321 | time used: 77.3
45 of 3321 | time used: 71.5
47 of 3321 | time used: 84.9
46 of 3321 | time used: 90.6
48 of 3321 | time used: 74.4
49 of 3321 | time used: 68.3
50 of 3321 | time used: 75.5
51 of 3321 | time used: 72
53 of 3321 | time used: 66.9
52 of 3321 | time used: 87.4
54 of 3321 | time used: 71.9
55 of 3321 | time used: 75.7
57 of 3321 | time used: 66.2
56 of 3321 | time used: 74.9
60 of 3321 | time used: 71.6
58 of 3321 | time used: 81.3
59 of 3321 | time used: 77.7
62 of 3321 | time used: 63.6
61 of 3321 | time used: 74.4
65 of 3321 | time used: 65.8
63 of 3321 | time used: 82.6
64 of 3321 | time used: 74.5
67 of 3321 | time used: 69.8
66 of 3321 | time used: 71
68 of 3321 | time used: 71.2
69 of 3321 | time used: 78.6
70 of 3321 | time used: 72
71 of 3321 | time used: 64.1
72 of 3321 | time used: 84.4
73 of 3321 | time used: 104.3
76 of 3321 | time used: 68.7
75 of 3321 | time used: 77.9
78 of 3321 | time used: 59.8
74 of 3321 | time used: 84.9
77 of 3321 | time used: 69.6
79 of 3321 | time used: 74.3
80 of 3321 | time used: 63.1
81 of 3321 | time used: 74.5
82 of 3321 | time used: 93.6
85 of 3321 | time used: 86
84 of 3321 | time used: 92.5
86 of 3321 | time used: 89.9
87 of 3321 | time used: 78.1
83 of 3321 | time used: 110.2
88 of 3321 | time used: 80.9
